Genes
REG1B
MTRR
KLHL13
ZBTB14
TCF15
HTR3B
CPSF4
TFR2
PRMT1
ZNF142
YIPF6
CEBPZOS
CIMAP1C
UNC5A
NPM1
CCDC13
OR5T1
NF2
LINC01449
ZNF677
PSG6
MACROH2A1
XPNPEP2
PRAMEF1
CYP2J2
CUX1
PARP16
CD300LG
FOXP2
LINC00858
ANKRD61
CHD6
SLC29A4
NMT2
WIZ
CLU
GNA15
OR4D1
SPATA31A7
DAPL1
SH3BP5L
DNAH10
AVEN
LINC02875
STMN4
NADK
PRPF38B
LINC01282
HSP90AB1
USP20
PFDN6
GUCY2D
ANP32D
BRPF1
WDR20
RPS19
RETREG1
SLC23A1
ADGRG4
LVRN
EGFLAM
IL34
GTF3C5
TAS2R30
INO80D
WDR90
TET3
GALR1
RAB3IL1
PROSER3
FOLR2
SNORA36B
UBXN6
RPS6KL1
PAQR9
CCR7
SNORD114-25
ZBED2
TMEM25
TSHB
UBA1
FSHR
ZSCAN10
NTM
LINC01234
GRIN3A
TMEM168
RICTOR
LINC00552
ZNF582
ANKRD63
SLFN12L
SDK1
SNORD110
LINC00052
LENG1
GUF1
VSIR
TRIM48
NINJ1
SEMA3F
CTSH
HLA-F
TTBK2
PRPF19
RNF167
SPTLC3
SNRNP25
PEAK1
FARP1
TEX101
ADCY3
GYPA
LHFPL4
TBC1D2B
GALNTL5
CTC1
SCARNA14
PPFIBP1
CWC22
PRPF4
ITGA9-AS1
C1QTNF12
SEMA4F
WARS2
PNLIPRP2
TTC12
GUCY1A1
CCNF
BBS1
RNFT1
QRICH2
F5
PRKN
HOXD1
SALL3
IL1RAPL2
TSPO
CALHM3
ERGIC2
LINC02724
CST4
SVOP
SRRM5
KRTAP2-4
ZNF593
TMEM273
TAS1R1
TANC2
BEX2
DBX1
PRSS33
OR10A6
KRBOX1
TMBIM1
TSNARE1
TBCK
NRF1
PNMA3
USH1G
USP31
FERMT1
ATP6AP1
GPR137C
STRC
JPH2
PUSL1
SNORA2C
PAX6
CHKB-DT
YIF1A
FAM181B
MRFAP1
DUSP19
GLMP
IFI30
NXF2
ETF1
SORCS3
LINC00648
PCDHGC3
HSPA4L
POPDC3
VAMP4
