Gene
ZDHHC9
IGBP1P1
LINC02225
KCTD10
LINC02225
LINC02901
MAPK9
TAF8
UPF3B
PALM2AKAP2
POU2AF2
NAT2
ERMN
SEMA6D
OXR1
ZNF883
AQP6
WDFY3-AS2
LINC01238
ZNF862
GIMAP2
B3GALT6
CRLF3
BROX
TMEM120B
ACTR3BP5
NSMF
TP53TG3HP
PRKDC
QNG1
ZNF556
TSEN34
MTERF2
LRRC37A4P
KRTAP10-10
CNOT6
SMC1A
MIR3945HG
AQP7
RNY4
ANKRD20A19P
LINC02901
POT1
SRARP
FOXR1
MRPS2
SACS
DAZAP1
IGBP1P1
PWAR5
RSL1D1
AQP9
SYNC
PSME2
GSX2
THG1L
NANOS1
ZNF512B
KRTAP25-1
RNF31
TRIM64B
HOXA7
KRTAP17-1
CILP
FAM200B
TMED6
RMDN1
LINC02900
TMEM131L
AR
CFHR5
NOC2L
LINC01372
TRIM16
CPNE8
PALM2AKAP2
ZNF490
INTS11
ADA
C9ORF40
CRYBB3
KRTAP3-1
SSTR5-AS1
ABCC6
MAP3K2
SSX8P
LINC01954
ADAM10
UTP11
KRT40
DHX33
CNGB3
FAM76B
NKPD1
LINC01882
ADAM8
USP6
CERNA1
PTK2
HMGN4
KRTAP1-5
ARAF
TRIM38
ADAR
WDR45B
CNKSR1
PPP1R37
PAN3-AS1
APOBR
ZNF488
NUPR2
TUSC1
BARX1
TADA3
ATP10B
JUN-DT
HAPLN3
TRPM3
PLAAT2
SSX6P
TTC29
LINC00313
BEX4
MTMR7
LINC00111
CCM2L
ADARB1
CD99P1
LINC00616
NEBL-AS1
TMEM45A
NBAS
KCTD15
RAB4A
PFDN6
LINC01189
HEXB
IFITM1
KISS1
SH3GL2
SLC35F6
SPATA16
RTP2
SSX7
H4C11
BRI3BP
ADARB2
ABCA17P
CHD5
SBDS
SLC25A38
LINC00639
CSRNP3
SECISBP2
CEP72-DT
HCP5
LRRC47
ATP2A1-AS1
ZBTB18
C12ORF56
OR8G2P
COL4A5
CCDC153
GPR146
OR4C16
SAMD10
DDX39A
KNTC1
ATP5MK
TMTC2
DLGAP2
RABL6
POMP
NAV1
LRTM2
FAM106A
BCAS1
SLC9A6
OR4C11
PSMD14
ABHD16B
ADCY1
KRTAP9-2
TMEM272
HDAC9
LINC01250
SNORD114-11
FAM110D
LOXHD1
C8ORF48
ABCC2
CAMK1
API5
ATP5PD
ATRAID
LINC01555
PROS1
PATE3
GPRASP1
ADCY2
AKAP11
LTB4R
MRPS17
FLOT1
UBE2E3
PACSIN1
CHRNB2
USP34
LCN2
SNORD116-4
ADCY3
KRTAP3-2
ABHD14B
CTSG
TOPORS
TMA7
BARX2
ASAP2
LINC01950
TRABD2A
SPMIP1
PRG4
LACTB2
C11ORF68
PRDX6
SETD1A
TMEM132A
DET1
SLC39A14
TMEM201
CTDSPL
ZNF461
ZMIZ2
SNX7
HABP4
KIDINS220
NKX6-3
GSC
CCP110
PTOV1-AS1
LINC00928
ID2-AS1
BANP
VWA5B1
NEUROG1
PCYT1B
SGPL1
MCHR2-AS1
TRIM52
CMKLR1
ADTRP
CPB2-AS1
ANGPT4
DMXL1
C19ORF12
SSX3
TRAPPC12
ZNF365
SLC25A5-AS1
ADH1A
ZNF251
LINC01804
SMC6
UAP1L1
UCHL5
ZNF585B
OLIG2
LINC01020
DDX12P
KMT5B
BDP1
RPS6KA6
RFX6
SPAG16-DT
ANKRD36BP1
LINC00989
UBXN10
LINC02171
GLB1L
LINC00661
ITIH5
PPP1R3C
TTC39C-AS1
LRRC74A
HDX
INPPL1
PAX8-AS1
DGCR2
SECTM1
MED27
RPL8
